,Description,Director,Runtime (Minutes),Action,Adventure,Aniimation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Success
0,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,James Gunn,121,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.",Ridley Scott,124,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,M. Night Shyamalan,117,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.",Christophe Lourdelet,108,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,David Ayer,123,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,Yimou Zhang,103,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,A jazz pianist falls for an aspiring actress in Los Angeles.,Damien Chazelle,128,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7,"A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared while searching for a mysterious city in the Amazon in the 1920s.",James Gray,141,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",Morten Tyldum,116,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,David Yates,133,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
10,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,Theodore Melfi,127,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,"The Rebel Alliance makes a risky move to steal the plans for the Death Star, setting up the epic saga to follow.",Gareth Edwards,133,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
12,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the Demigod to set things right.",Ron Clements,107,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Gloria is an out-of-work party girl forced to leave her life in New York City, and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.",Nacho Vigalondo,109,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",Chris Renaud,87,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson,139,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.,Paul Greengrass,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family.",Garth Davis,118,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"When twelve mysterious spacecraft appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors.",Denis Villeneuve,116,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
19,"Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.",Stephen Gaghan,120,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,Kenneth Lonergan,137,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
