id,history,comedy,animation,action,romance,documentary,mystery,crime,science fiction,fantasy,drama,western,horror,adventure,family,thriller,music,foreign,war
5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
18,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
19,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
22,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
27,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
38,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
66,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
75,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
76,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
78,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
81,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
82,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
95,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
97,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
98,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
100,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
104,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
111,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
115,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
117,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
118,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
134,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
137,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
141,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
144,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
149,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
157,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
162,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
164,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
169,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
172,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
174,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
177,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
180,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
182,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1
183,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
184,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
187,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
189,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
192,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
193,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
