id,adult,budget,genres,imdb_id,original_language,overview,popularity,production_companies,production_countries,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count,revenue_percentage,directors,year
5,False,4000000.0,"['crime', 'comedy']",tt0113101,en,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,"['miramax films', 'a band apart']",['united states of america'],4300000.0,98.0,['english'],"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,6.5,539.0,1.075,"['allison anders', 'alexandre rockwell', 'robert rodriguez', 'quentin tarantino']",1995
16,False,12800000.0,"['drama', 'crime', 'music']",tt0168629,en,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",10.684806,"['fine line features', 'zentropa entertainments', 'danmarks radio (dr)', 'svt drama', 'arte', 'memfis film', 'france 3 cinéma', 'angel films', 'tv 1000', 'canal+', 'constantin film produktion', 'yleisradio (yle)', 'arte france cinéma', 'westdeutscher rundfunk (wdr)', 'blind spot pictures oy', 'vrijzinnig protestantse radio omroep (vpro)', 'film4', 'liberator productions', 'icelandic film', 'film i väst', 'pain unlimited gmbh filmproduktion', 'trust film svenska', 'cinematograph a/s', 'what else? b.v', 'filmek a/s', 'lantia cinema & audiovisivi']","['argentina', 'denmark', 'finland', 'france', 'germany', 'iceland', 'italy', 'netherlands', 'norway', 'sweden', 'united kingdom', 'united states of america']",40031879.0,140.0,['english'],You don't need eyes to see.,Dancer in the Dark,7.7,392.0,3.127490546875,['lars von trier'],2000
18,False,90000000.0,"['adventure', 'fantasy', 'action', 'thriller', 'science fiction']",tt0119116,en,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",24.30526,"['columbia pictures', 'gaumont']",['france'],263920180.0,126.0,"['english', 'svenska', 'deutsch']",There is no future without it.,The Fifth Element,7.3,3962.0,2.9324464444444445,['luc besson'],1997
19,False,92620000.0,"['drama', 'science fiction']",tt0017136,de,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",14.487867,"['paramount pictures', 'universum film (ufa)']",['germany'],650422.0,153.0,['no language'],There can be no understanding between the hands and the brain unless the heart acts as mediator.,Metropolis,8.0,666.0,0.007022478946231915,['fritz lang'],1927
22,False,140000000.0,"['adventure', 'fantasy', 'action']",tt0325980,en,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",47.326665,"['walt disney pictures', 'jerry bruckheimer films']",['united states of america'],655011224.0,143.0,['english'],Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,7191.0,4.6786516,['gore verbinski'],2003
25,False,72000000.0,"['drama', 'war']",tt0418763,en,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swafford and his unit are sent to the Persian Gulf where they are earger to fight but are forced to stay back from the action. Meanwhile Swofford gets news of his girlfriend is cheating on him. Desperately he wants to kill someone and finally put his training to use.",9.997032,"['universal pictures', 'neal street productions', 'red wagon entertainment', 'motion picture kappa produktionsgesellschaft']","['germany', 'united states of america']",96889998.0,125.0,"['english', 'español', 'العربية', 'latin']",Welcome to the suck.,Jarhead,6.6,776.0,1.3456944166666667,['sam mendes'],2005
27,False,1000000.0,"['drama', 'music', 'romance']",tt0411705,en,"Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.",18.847707,['revolution films'],['united kingdom'],1574623.0,66.0,['english'],"2 lovers, one summer, and the 9 songs that defined them.",9 Songs,5.1,103.0,1.574623,['michael winterbottom'],2004
28,False,31500000.0,"['drama', 'war']",tt0078788,en,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",13.5963,"['united artists', 'zoetrope studios']",['united states of america'],89460381.0,153.0,"['', 'english', 'français', 'tiếng việt']",This is the end...,Apocalypse Now,8.0,2112.0,2.8400120952380954,['francis ford coppola'],1979
38,False,20000000.0,"['science fiction', 'drama', 'romance']",tt0338013,en,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",12.906327,"['anonymous content', 'this is that productions', 'focus features']",['united states of america'],72258126.0,108.0,['english'],You can erase someone from your mind. Getting them out of your heart is another story.,Eternal Sunshine of the Spotless Mind,7.9,3758.0,3.6129063,['michel gondry'],2004
59,False,32000000.0,"['drama', 'thriller', 'crime']",tt0399146,en,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,11.119707,"['new line cinema', 'dc comics', 'benderspink']","['united states of america', 'canada', 'germany']",60740827.0,96.0,['english'],Tom Stall had the perfect life... until he became a hero.,A History of Violence,6.9,850.0,1.89815084375,['david cronenberg'],2005
66,False,50000000.0,"['crime', 'drama', 'thriller']",tt0118548,en,A master thief coincidentally is robbing a house where a murder in which the President of The United States is involved occurs in front of his eyes. He is forced to run yet may hold evidence that could convict the President. A political thriller from and starring Clint Eastwood and based on a novel by David Baldacci.,7.66124,"['columbia pictures', 'castle rock entertainment', 'malpaso productions']",['united states of america'],50068310.0,121.0,"['english', 'español']",Corrupts Absolutely.,Absolute Power,6.4,226.0,1.0013662,['clint eastwood'],1997
